,track_id,release_date
0,0BRjO6ga9RKCKjfDqeFgWV,2009-04-06
1,0BjC1NfoEOOusryehmNudP,2015-10-27
2,0CoSDzoNIKCRs124s9uTVy,2008-02-05
3,0Gc6TVm52BwZD07Ki6tIvf,1998
4,0IuslXpMROHdEPvSl1fTQK,2017-01-06
5,0Mf1jKa8eNAf1a4PwTbizj,2001
6,0NUiKYRd6jt1LKMYGkUdnZ,2015-10-27
7,0PbIF9YVD505GutwotpB5C,2011-12-20
8,0ST6uPfvaPpJLtQwhE6KfC,2016-09-28
9,0VSqZ3KStsjcfERGdcWpFO,2014-09-08
10,0XKgegoxLcIihK3Klpfo3N,2002
11,0hprxsuRM5vVCOfaM7l3gQ,1994
12,0jF6HUm18fg6QQCLHhfhC0,2011-07-03
13,0jIY0oRAp1T4mezDyEhOad,1996-08-01
14,0pXwl2CRP5awxHsF9eET3L,2012-12-11
15,0uWUjxM7oDPKpb3T2y3oZm,2015-09-25
16,0vS7Zid3q0dMyX8uMnlQ8s,2011-06-07
17,0x8xSaoSfQkOYUnG1nbga0,2018-11-16
18,113pHPsGwyeklEjLhnB3ZT,1998
19,12ZjoNweObu1k9rK4SOSdL,2016-01-29
20,12hJJLMMbJDK0F9I3g5SLv,2015-10-27
21,148uA2Y78xfxDiCNjgZA0v,1982-04-01
22,14K25Ks5fdHjHfpIYOTc4y,1997-11-23
23,15CpJP0LXchBUjpB8RKh8m,2012-01-17
24,15nBPcHoH2fZmRiFd2ZhMh,2002-01-01
25,16UTNMhXjeJa8IG9uBijxZ,2006
26,16hVzfu0IJZmP3Bj4x1BB1,2011-11-07
27,17c4utCC03TPtTHXw2EVGB,2015-11-06
28,1J5pa9cW0uCsNrFwag0jDD,2003-01-01
29,1KIKeCTNJKYpQK5X5Sqc1v,2010-04-20
30,1KVSUAEvXBSlARo03y4YYG,2016-07-20
31,1LFky4DBeOLzVWbg0avgod,2015-10-16
32,1R8nFU8no9yINDiCzBcgB3,2006-11-28
33,1X8uhUgBKmotpvHrsS7fEe,2007-10-16
34,1Zj5XBiUaHTkkBJ2nET477,2010-06-22
35,1bo3gLD3Es261UYTfMLh4y,2001
36,1cAI02OznrXX5yrqonMCfh,2017-03-14
37,1dQKx8EJBbhHxc7qOgsBjb,2004-11-12
38,1j6b29LbEnEqbn8aswj4p1,2012-12-11
39,1jyknwZYTEEj1TCUozUbCi,2004-01-27
40,1lG8EIwGceFVRntJvA9hnY,1985-01-03
41,1ppTRhpfunYl8Jd3Hfckee,2002
42,1py5dPKJVdQmXdZKjdvmwB,2009-03-17
43,1q7DDr7riLHgrqAMxyZNFC,2001
44,1qCTyNzxGkFXnvdrqT5olw,2008-02-12
45,1qda3iYG5DlQJeY5BpSmpe,2008-02-12
46,1wUjDOW0NXDBUPYPzNxczV,2018-11-16
47,23YuvN1cvAocACyKpYqzvu,2012-07-17
48,244U5mhlSmoudM4BMN25Wu,2011-01-01
49,24QIhmFU3ve4VIwDlBTtlp,1985-09-30
50,24XhoLQObCUbk4ybOWtrZl,2009-04-21
51,24YkUVThOdm5kpX15kcK8Q,2018-10-26
52,279g1SI8xH7ItKaJxM6TLI,2004-11-12
53,27AtBxw44IKdMNHnxmg6rB,2015-11-06
54,2BF5SlaZRL0sYUDBgwjmbo,2007-06-01
55,2BcLdx9G6GF32IWlvb1UGa,2016-12-09
56,2Do96Wm75pSsMBm8lmIhQg,2005-03-09
57,2G2CWFXYakUgdQyweO4MKv,2004-11-12
58,2I5Vq5yS1xuh9lk0mZ2oMS,2000-01-01
59,2MkMN3nFkYzdXlYrhAS0GJ,2009
60,2PSSi1isCZITVBIEwL420B,2014-01-01
61,2SJMPPj5nNlizdz58AgzL6,1987-01-18
62,2TXdgzpGp97Wrb23ue9rVk,2011-01-01
63,2ULwBLyVAflWmyTcSWdetF,2001
64,2WsyzikcaMllNx3HCbHnl1,2002-01-30
65,2WwJlG8fczrLwRAxsnXRl7,2017-02-14
66,2Y1TGD05ZJoTihQuZfZJEZ,2009-03-17
67,2YeFJwywiUPeQiUtEeGPyQ,2008-10-01
68,2aN00IOtoPDWAsTzWeGT21,1983-11-24
69,2blJzY8Ohl2E2vEdQ2wlEn,2008-01-12
70,2e3v5wfUN8UB4jB41eDr4k,2017-01-06
71,2eBvh4fOjch2HK8NVYYWRP,2014-10-06
72,2hQlHB5r3uNFlyJYWABUk7,1995-01-01
73,2hi0z5RkTEVbTVO4h7t7ch,2014-08-01
74,2j6xLFrJ3gp233MLhaMqHX,2008-07-01
75,2jBp52nfXVpHbt9dqf0cSs,2011-06-06
76,2kfppyLcqATE9Qi8hSOiyx,2011-01-01
77,2n4an2QX7Np3yhM8T0HWdz,2010-07-01
78,2nM2RKLUqdVJYakMbaWBHC,2011-06-08
79,2qZswteMfdcc3FLjaYR38E,2008-07-01
80,2rQ1lgMI65SW3je5bQlA1K,2008-03-01
81,2rT3uD6EjROZdP6UIf6C6p,2014-08-01
82,2uou9Wr6a3HxmieA8NafPc,2008-07-01
83,2wQgXSFESMAgmpkI14Pr7s,2002
84,2y9CiiXaeZUdX3ZjsnkCVb,2011-01-01
85,316vZ2FFcGlhI7XDld9fay,2010-11-29
86,321MDop1sPmNMO0UQE4EcJ,2001-07-26
87,35W7MQyH36gNt3EoR0qZdV,2010-11-11
88,38QPdO8qO4xuavpeHF1oyr,1992-01-01
89,3AnPOKKZV1NRhED24p9YeX,2012-11-22
90,3Cr09kBxG7FE9fvbSPlcIN,2014-08-01
91,3Ez6AS04xRmFq3K7wr7ayj,2001-07-26
92,3FQJq6X5IHjFyncHoouuRA,2015-10-16
